"","deposit","filter","grazer","parasite","plankton","predator","scavenger","suspension","xylophagous"
"Lontra canadensis",0,0,0,0,0,1,0,0,0
"Lophaster furcifer",0,0,0,0,0,1,0,0,0
"Lophelia pertusa",0,0,0,0,0,0,0,1,0
"Lophius americanus",0,0,0,0,0,1,0,0,0
"Lophodytes cucullatus",0,0,0,0,0,1,0,0,0
"Lopholatilus chamaeleonticeps",0,0,0,0,0,1,0,0,0
"Lumpenus fabricii",0,0,0,0,0,1,0,0,0
"Lumpenus lampretaeformis",0,0,0,0,0,1,0,0,0
"Lumpenus maculatus",0,0,0,0,1,1,0,0,0
"Lumpenus medius",0,0,0,0,1,1,0,0,0
"Lycenchelys paxillus",0,0,0,0,0,1,0,0,0
"Lycenchelys verrilli",0,0,0,0,0,1,0,0,0
"Lycenchelys verrillii",0,0,0,0,0,1,0,0,0
"Lycodes esmarki",0,0,0,0,0,1,0,0,0
"Lycodes eudipleurostictus",0,0,0,0,0,1,0,0,0
"Lycodes lavalaei",0,0,0,0,0,1,0,0,0
"Lycodes pallidus",0,0,0,0,0,1,0,0,0
